"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B001525FF7","杨浦站","交通设施服务;火车站;货运火车站","150210","[]","周家嘴路4041号5号楼","121.549272","31.284737","121.5449970267635","31.286864364728103","[]","上海市","上海市","杨浦区"
"B00155KSDE","上海站","交通设施服务;火车站;火车站","150200","[]","秣陵路303号","121.455708","31.249574","121.45112958137148","31.25146265329063","[]","上海市","上海市","静安区"
"B00155DNI5","上海南站","交通设施服务;火车站;火车站","150200","[]","沪闵路9001号","121.429462","31.153127","121.42483718117317","31.155016771064666","[]","上海市","上海市","徐汇区"
"B00155MPRL","上海虹桥站","交通设施服务;火车站;火车站","150200","[]","申虹路","121.320081","31.193964","121.31555928693673","31.195923890395296","021-51245555","上海市","上海市","闵行区"
"B00155KAZY","上海西站","交通设施服务;火车站;火车站","150200","[]","桃浦路22号","121.402673","31.262953","121.3980187312867","31.264773622407944","021-51241022","上海市","上海市","普陀区"
"B00155QMX6","松江南站","交通设施服务;火车站;火车站","150200","[]","盐仓路","121.229723","30.982863","121.22531182002638","30.98501276495977","[]","上海市","上海市","松江区"
"B00156CM96","安亭北站","交通设施服务;火车站;火车站","150200","[]","安亭镇宝安公路北侧(墨玉路和新源路中间)","121.158416","31.314374","121.15385769628789","31.316243083033612","[]","上海市","上海市","嘉定区"
"B00155QXY1","松江站","交通设施服务;火车站;火车站","150200","[]","人民南路1号","121.227857","30.999674","121.2234429721028","31.001812403205022","[]","上海市","上海市","松江区"
"B00155QXUV","南翔北站","交通设施服务;火车站;火车站","150200","[]","金昌西路","121.30875","31.281473","121.30424572040047","31.283413942863827","[]","上海市","上海市","嘉定区"
"B00150A347","北郊站","交通设施服务;火车站;货运火车站","150210","[]","寿阳路1500号","121.456232","31.302303","121.45165041966085","31.304170795344724","[]","上海市","上海市","静安区"
"B00155QXJZ","金山北站","交通设施服务;火车站;火车站","150200","[]","兴豪路1288号","121.089517","30.894305","121.0849325644603","30.896333299939524","[]","上海市","上海市","金山区"
"B00156GP63","金山卫站","交通设施服务;火车站;火车站","150200","[]","卫阳南路120号","121.362722","30.728108","121.35815004201815","30.730253310629646","[]","上海市","上海市","金山区"
"B0FFFSV0SP","上海站5候车室","交通设施服务;火车站;候车室","150201","[]","秣陵路303号上海站2F层","121.455166","31.249703","121.45058612909651","31.251590390450644","[]","上海市","上海市","静安区"
"B0FFFSVFK8","上海站6候车室","交通设施服务;火车站;候车室","150201","[]","秣陵路303号上海站2F层","121.456011","31.249380","121.45143340884538","31.251269417659532","[]","上海市","上海市","静安区"
"B001504096","何家湾站","交通设施服务;火车站;货运火车站","150210","[]","逸仙路3001号","121.498223","31.340048","121.49377599373855","31.342016829011907","[]","上海市","上海市","宝山区"
"B00156GSYX","亭林站","交通设施服务;火车站;火车站","150200","[]","南亭公路5033号附近","121.358472","30.894634","121.35389332273076","30.89669349512261","[]","上海市","上海市","金山区"
"B0FFI1702N","张庙站","交通设施服务;火车站;货运火车站","150210","[]","[]","121.471972","31.330102","121.46743476091218","31.331998429781724","[]","上海市","上海市","宝山区"
