"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00155HJ1X","珠江生活广场","风景名胜;公园广场;城市广场","110105","tour","宁武路280号","121.544138","31.269314","121.53985061617497","31.271436752294935","[]","上海市","上海市","杨浦区"
"B00155HJGY","长阳商务休闲广场","风景名胜;公园广场;城市广场","110105","tour","长阳路1681号(宁国路地铁站3号口步行330米)","121.535264","31.270973","121.53095053927053","31.273073960818362","[]","上海市","上海市","杨浦区"
"B00155FO3H","上海站北广场","风景名胜;公园广场;城市广场","110105","tour","中兴路1688号(上海火车站地铁站6号口步行80米)","121.456759","31.251491","121.45218324292308","31.253381168741267","[]","上海市","上海市","静安区"
"B00155R1E2","上海站南广场","风景名胜;公园广场;城市广场","110105","tour","秣陵路303号(上海火车站地铁站2号口步行110米)","121.454556","31.247982","121.4499746701064","31.24986881101805","[]","上海市","上海市","静安区"
"B0FFFE0HWA","杨家浜休闲广场","风景名胜;公园广场;城市广场","110105","tour","控江路802弄小区(杨浦公园北100米)","121.535720","31.283490","121.53140688611124","31.285586882823015","[]","上海市","上海市","杨浦区"
"B0FFG4JZTG","东方明珠广播电视塔-城市广场","风景名胜;公园广场;城市广场","110105","tour","世纪大道1号(陆家嘴地铁站1号入口步行260米)","121.500271","31.239193","121.49583999190388","31.241208643435183","021-58791888","上海市","上海市","浦东新区"
"B00150D229","金杨文化广场","风景名胜;公园广场;城市广场","110105","tour","云山路1247、1267号","121.575676","31.245185","121.57145644767168","31.247370052443653","021-50705446","上海市","上海市","浦东新区"
"B00157917M","上海人民广场","风景名胜;公园广场;城市广场","110105","tour","人民大道120号","121.475164","31.228816","121.47064587471175","31.230763006198547","[]","上海市","上海市","黄浦区"
"B0G3ZPN574","四季广场-外广场","风景名胜;公园广场;城市广场","110105","tour","宁国路复地四季广场(宁国路地铁站4号口步行140米)","121.533817","31.267911","121.52949932230194","31.2700096064745","[]","上海市","上海市","杨浦区"
"B00155KI8E","音乐广场","风景名胜;公园广场;城市广场","110105","tour","延安东路523号(近西藏中路)上海城","121.478406","31.226529","121.47389887722714","31.228486099485504","[]","上海市","上海市","黄浦区"
"B00154DIBE","滨江大道-欢乐广场","风景名胜;公园广场;城市广场","110105","tour","富城路滨江公园","121.496713","31.235202","121.49226947798516","31.237208767381627","[]","上海市","上海市","浦东新区"
"B00155G6WO","外滩-陈毅广场","风景名胜;公园广场;城市广场","110105","tour","中山东一路外滩","121.490359","31.238999","121.48589236169556","31.240985046056228","[]","上海市","上海市","黄浦区"
"B00155HK15","长岛路休闲广场","风景名胜;公园广场;城市广场","110105","tour","长岛路521号","121.57967","31.262887","121.57545391276949","31.265067833062258","[]","上海市","上海市","浦东新区"
"B00155MRR6","莱阳市民广场","风景名胜;公园广场;城市广场","110105","tour","莱阳路817弄17号","121.581951","31.280085","121.57773593799386","31.28226028033909","[]","上海市","上海市","浦东新区"
"B00155KEZO","海上海无限可能广场","风景名胜;公园广场;城市广场","110105","tour","大连路990弄","121.507481","31.266859","121.50307367734318","31.26888407206481","[]","上海市","上海市","杨浦区"
